,study_id,study_type,study_type_id,study_name,reference_id,reference_source,comments,description,study_description
248,6587,,,,SDY1712,,,Microbial antigen encounter during a preweaning interval is critical for tolerance to gut bacteria gastrointestinal tract (GI),"We have a mutually beneficial relationship with the trillions of microorganisms inhabiting our gastrointestinal tract. However, maintaining this relationship requires recognizing these organisms as affable and restraining inflam- matory responses to these organisms when encountered in hostile settings. How and when the immune system develops tolerance to our gut microbial members is not well understood. We identify a specific preweaning inter- val in which gut microbial antigens are encountered by the immune system to induce antigen-specific tolerance to gut bacteria. For some bacterial taxa, physiologic encounters with the immune system are restricted to this inter- val, despite abundance of these taxa in the gut lumen at later times outside this interval. Antigen-specific tolerance to gut bacteria induced during this preweaning interval is stable and maintained even if these taxa are encountered later in life in an inflammatory setting. However, inhibiting microbial antigen encounter during this interval or ex- tending these encounters beyond the normal interval results in a failure to induce tolerance and robust antigen- specific effector responses to gut bacteria upon reencounter in an inflammatory setting. Thus, we have identified a defined preweaning interval critical for developing tolerance to gut bacteria and maintaining the mutually bene- ficial relationship with our gut microbiota."
249,4059,,,,SDY1715,,,A Retrospective Multicenter study to Determine Up to 5 Year Clinical Outcomes in Subjects Previously Randomized in the CTOT-11 Study (CTOT-23),"This study is a multicenter, non-randomized, retrospective study to collect long term (3 to 5 years post-transplant) clinical outcome data on subjects previously enrolled in the CTOT-11 study."
250,5882,,,,SDY1720,,,A Retrospective Multicenter Study to Determine Clinical Outcomes in Subjects Previously Enrolled in the CTOTC-03 Study (CTOTC-14),"This study is a multicenter, non-randomized, retrospective study to collect long term (5 years post-transplant +/- 6 months) clinical outcome data on subjects previously enrolled in the CTOTC-03 study."
251,6426,,,,SDY1722,,,Perturbation of ILF3 in Human MDDCs,MDDCs were transduced with lentiviral constructs expressing mRNA coding for various isoforms of ILF3 or isoforms lacking specific domains.
252,6426,,,,SDY1723,,,gso32 infected with Mtb,Gene expression analysis of gso32 bone marrow derived macrophages treated with IFNbeta and/or infected with live or heat killed Mycobacterium tuberculosis
253,6426,,,,SDY1725,,,Response of human MDDCs to HIV,ATAC-seq measurements of human MDDCs following infection with HIV
254,6625,,,,SDY1726,,,Genomics of Kidney Transplantation (GEN-03),"The major aim of this research study is to investigate the relationship between genetic variation in DNA (inherited code material in the cells of the body) and factors affecting transplant outcomes, like the drugs people receive or the way their immune systems work, for example. To do this, investigators will collect blood samples from participants. Genetic material will be separated from each blood sample and analyzed, looking for genetic variation."
255,4009,,,,SDY1732,,,Maternal gut microbiota reflecting poor diet quality is associated with sPTB,"The study conducted comparative analysis in case-control datasets on the data of fecal gut microbiota, fecal and plasma metabolites, and diet in the late second trimester. Results: 1) A decrease in α-diversity was strongly associated with the development of SPTB, especially in the taxonomic class of Betaproteobacteria. 2) Of 824 fecal metabolites, 22 metabolites (mostly lipids) differed between cases and controls (P < 0.01). The most significant fecal metabolite module (FDR-adjusted P = 0.008) was dominated by DHA and EPA. 3) A low-fiber, high-fat diet in the late second trimester is strongly associated with the development of SPTB. Conclusions: Reduced α-diversity of the gut microbiota and higher excretion of omega-3 (n–3) fatty acids in stool may provide a novel biomarker signature predicting SPTB in women with a low-fiber, high-fat diet. Further investigation of these markers in a larger sample is needed for validation"
256,6627,,,,SDY1733,,,Single-Cell immune signature for detecting early-stage HCC and early assessing PD-1 immunotherapy efficacy,We exploit CyTOF and identify specific immune signatures in (PBMCs from the early-stage HCC patients and dynamic immune signatures to assess the responsiveness of anti-PD-1 advanced HCC patients .
257,6626,,,,SDY1734,,,Controlled malaria infection in Europeans and Africans,"Comparison of immune signatures of malaria-naive Europeans and of Africans with lifelong malaria exposure using mass cytometry, flow cytometry, RNA-Seq, before and 5 and 11 days after venous inoculation with Plasmodium falciparum sporozoites (PfSPZ)"
258,4117,,,,SDY1737,,,A Research Trial of Aralast in New Onset Diabetes (RETAIN) (ITN041AI),"The drug Alpha-1 Antitrypsin (AAT, Aralast NP) is being tested in this study as an anti-inflammatory drug (a medication that decreases inflammation, which is part of the body's normal ability to fight infection and respond to injuries) that affects the cells thought to be involved in the development of type 1 diabetes mellitus (T1DM, T1D). All subjects enrolled in this study have new-onset T1DM (diagnosis of T1DM within 100 days of Visit 0; T1DM diagnosis fulfilling American Diabetes Association standard T1DM criteria). The focus of Part I of this trial (NCT01183468) is pharmacokinetics (PK), pharmacodynamics (PD) and safety. Upon completion of Part I, including a satisfactory safety review, enrollment in Part II (NCT01183455, Phase II Clinical Trial) will begin."
259,4009,,,,SDY1738,,,Multiomics Characterization of PTB in Low- and Middle-Income Countries,"This study analyzed multiomics data of plasma and urine samples collected from May 2014 to June 2017 from pregnant women in 5 biorepository cohorts in low- and middle-income countries. The comparative analysis of Cell-free transcriptomics, urine metabolomics, and plasma proteomics between term and preterm birth concluded that major biological adaptations during term pregnancy follow a generalizable model and the predictive accuracy for PTB was augmented by combining various omics data sets"
260,6439,,,,SDY1742,,,"Phase 1, dose escalation, randomized controlled trial to evaluate the safety, immunogenicity and efficacy of intravenously administered attenuated Plasmodium falciparum sporozoite vaccine (PfSPZ Vaccine) in Tanzanian adults","Second trial of PfSPZ Vaccine in sub-Saharan Africa to assess safety, immunogenicitiy and efficacy. First trial in sub-Saharan Africa to assess PfSPZ Vaccine efficacy by CHMI using PfSPZ Chllenge."
261,4876,,,,SDY1743,,,Antigen-Specific Adaptive Immunity to SARS-CoV-2 in Acute COVID-19,"Limited knowledge is available on the relationship between antigen-specific immune responses and COVID-19 disease severity. The adaptive immune system responds to pathogens in an antigen-specific manner to develop protective immunity. We completed a combined examination of all three branches of adaptive immunity at the level of SARS-CoV-2-specific CD4+ and CD8+ T cell and neutralizing antibody responses in acute and convalescent subjects, and compared the response in unexposed controls"
262,4875,,,,SDY1752,,,Quantitative chest CT combined with plasma cytokines predicts outcomes in COVID-19 patients,To assess the performance of a chest CT qualitative score and a quantitative analyses alone and in combination with plasma cytokines for prediction of survival and maximum severity degree in COVID-19 patients.
263,3670,,,,SDY1764,,,Distinct antibody responses to SARS-CoV-2 in children and adults,"Clinical manifestations of COVID-19 caused by the new coronavirus SARS-CoV-2 are associated with age. Here, we show distinct antibody responses in children and adults after SARS-CoV-2 infection."
264,6257,,,,SDY1765,,,"Cross-tissue, single-cell stromal atlas identifies shared pathological fibroblast phenotypes in four chronic inflammatory diseases","Pro-inflammatory fibroblasts are critical to pathogenesis in rheumatoid arthritis, inflammatory bowel disease, interstitial lung disease, and Sjogren's syndrome, and represent a novel therapeutic target for chronic inflammatory disease. However, the heterogeneity of fibroblast phenotypes, exacerbated by the lack of a common cross-tissue taxonomy, has limited the understanding of which pathways are shared by multiple diseases. To investigate, we profiled patient-derived fibroblasts from inflamed and non-inflamed synovium, intestine, lung, and salivary glands with single-cell RNA-sequencing. We integrated all fibroblasts into a multi-tissue atlas to characterize shared and tissue-specific phenotypes. Two shared clusters, CXCL10+CCL19+ immune-interacting and SPARC+COL3A1+ vascular-interacting fibroblasts were expanded in all inflamed tissues and additionally mapped to dermal analogues in a public atopic dermatitis atlas. We further confirmed these human pro-inflammatory fibroblasts in animal models of lung, joint, and intestinal inflammation. This work represents the first cross-tissue, single-cell fibroblast atlas revealing shared pathogenic activation states across four chronic inflammatory diseases."
265,3670,,,,SDY1767,,,Longitudinal profiling of respiratory and systemic immune responses in severe COVID-19,"We examined the relationship between immune processes in the respiratory tract and circulation through longitudinal phenotypic, transcriptomic, and cytokine profiling of paired airway and blood samples from patients with severe COVID-19 relative to heathy controls."
266,4009,,,,SDY1768,,,Evolutionary transcriptomics implicates HAND2,"The study assembled a collection of gene expression data from the pregnant/gravid maternal-fetal interface of tetrapods and used evolutionary methods to reconstruct gene expression changes during the origins of mammalian pregnancy. And found genes were enriched for immune functions and diseases, as well as preterm birth. A subsequent analysis was on the HAND2 gene expression dynamics from re-analysis of existing data and focused on the HAND2 gene regulations in endometrial stromal fibroblasts, and the functional analysis of identified IL15 gene by trans-well migration assays. Collectively, these data connect HAND2 expression at the maternal-fetal interface with evolution of implantation and gestational regulation, and preterm birth."
267,4009,,,,SDY1769,,,Maternal and Infant Immune Repertoire Sequencing in PPROM study,The study analyzed lymphocyte receptor repertoires in maternal and cord blood from 14 term and 10 preterm deliveries and hypothesized that the high incidence of infection in patients with preterm labor (PTL) may result in specific changes in the TCR and BCR repertoires
268,4009,,,,SDY1772,,,Proteomic Signatures Predict Preeclampsia in Individual Cohorts but not Across Cohorts,The study aim was to discover bio-signatures predicting the risk of preeclampsia in two independent cohorts (Stanford and Detroit) of pregnant women using a highly-multiplexed and aptamer-based proteomic array (SomaLogic).
269,3670,,,,SDY1773,,,Human plasmacytoid dendritic cells mount a distinct antiviral response to virus-infected cells,"We studied the response of primary DCs to the prototypical persistent DNA virus, human cytomegalovirus (CMV). Recognition of live infected cells is a mechanism of virus detection by pDCs that elicits a unique antiviral immune response."
270,6665,,,,SDY1774,,,Tumor Immune Microenvironment of mIDH1 and wtIDH1 Glioma GEMMs,The tumor immune cell compartment of mIDH1 and wtIDH1 glioma models.
271,6440,,,,SDY1777,,,Th1 Polarization of JIA Synovial Fluid T Cells,"We sought to determine the immunophenotype of joint-infiltrating CD4+ T cells as well as the stability of Tregs in oligo JIA. This was done through the use of flow cytometry, bulk and single-cell RNA sequencing, DNA methylation studies, and Treg suppression assays. We show that CD4+ T cells in SF, including Tregs, are predominantly Th1-polarized. Disease extension is associated with a greater proportion of IFN?-expressing CD4+ T cells in the joint. Importantly, Th1-skewed SF Tregs in oligo JIA maintain Treg identity and suppressive functionality. Our findings suggest that inhibiting the Th1 pathway and enhancing Treg function may be key in controlling arthritic flares in oligo JIA."
272,5882,,,,SDY1780,,,B Cell Induction in Pediatric Lung Transplantation (CTOTC-08),"In this study, doctors are trying to see if a study drug called rituximab (Rituxan) will lower the number of B cells in the body. Doctors are also trying to see if decreasing B cells with rituximab (Rituxan) can prevent injury to the transplanted lung. This treatment has been studied in other types of solid organ transplants."
273,6661,,,,SDY1781,,,Proinflammatory IgG Fc structures in patients with severe COVID-19,"To understand if specific structural features of antibodies, produced by patients with mild or severe COVID-19, augment effector functions"
274,6439,,,,SDY1789,,,"Regimen verification phase: Sequential optimization of dose and schedule of PfSPZ Vaccine, verified by randomized, controlled, double-blind immunization and controlled human malaria infection in malaria-naive, healthy adult volunteers in Germany","The study is to take place at Institut fur Tropenmedizin, Eberhard Karls Universitat Tubingen, Tubingen Germany. The study has two phases: 1) dose optimization, and 2) regimen verification. In the first phase groups A, B1, B2, C1, C2 and C3 will be vaccinated sequentially in a pre-specified order, followed by homologous CHMI with 3,200 PfSPZ Challenge (NF54) three weeks after last vaccine injection. Dose optimization phase A: 9x10^5 PfSPZ on Days 0, 7 and 28 (n = 6) B1: 1.35x10^6 PfSPZ on Days 0 and 7 (n = 6) B2: 1.35x10^6 PfSPZ on Days 0, 7, and 28 (n = 6) C1: 2.7x10^6 PfSPZ on Day 0 (n = 6) C2: 2.7x10^6 PfSPZ on Day 0 and 7 (n = 6) C3: 2.7x10^6 PfSPZ on Days 0, 7 and 28 (n = 6) In parallel to CHMI with PfSPZ Challenge (NF54) during the optimization phase, a total of nine volunteers will receive either 800, 1,600 or 3,200 PfSPZ Challenge (7G8) (PfSPZ Challenge (7G8) dose finding) to assess safety, tolerability and infectivity of PfSPZ Challenge (7G8) in malaria-naive healthy adult volunteers. PfSPZ Challenge (7G8) dose finding/infection D1: 800 PfSPZ (n = 3) D2: 1,600 PfSPZ (n = 3) D3: 3,200 PfSPZ (n = 3) Subsequently, the shortest efficacious regimen (V1) and a three-dose regimen (Day 0, 7 and 28) of the highest safe dose (V2) will be selected and verified against placebo (normal saline (NS)). Groups V1 and V2 will be vaccinated at approximately the same time and undergo repeat CHMI three and eight weeks after the last immunization. Volunteers will either receive PfSPZ Vaccine or NS as placebo. Allocation will be random and double blind. Repeat CHMI will be done with PfSPZ Challenge (NF54) and PfSPZ Challenge (7G8), given in a randomized sequence. All immunizations are given by direct venous inoculation (DVI). Regimen verification phase V1: Shortest efficacious regimen (n = 12) against placebo (n = 6) V2: Maximum regimen (n = 12) against placebo (n = 6) P1: Placebo for V1 group (n=6) P2 Placebo for V2 group (n=6)."
275,6661,,,,SDY1798,,,Discovery and functional interrogation of SARS-CoV-2 RNA-host protein interactions,To provide an RNA-centric view of the landscape of the host proteins interacting with SARS-CoV-2 RNA during infection.
276,6684,,,,SDY1799,,,Systemic Immunological Effects of Influvac Tetra Vaccination,A proteomics study to identify the systemic changes induced by a tetravalent influenza vaccine.
277,1054,,,,SDY18,,,Immunity to Smallpox Vaccination,"To map, isolate and validate human host genes that confer risk of either adverse reactions to smallpox vaccination or lack of specific immune response to the vaccine (specific anergy)."
278,2799,,,,SDY180,,,Systems scale interactive exploration reveals quantitative and qualitative differences in response to 2009-2010 Fluzone influenza vaccine and pneumococcal vaccine,Systems approach to study immune response to seasonal influenza and 23-valent pneumoccocal vaccination in healthy adults.
279,6661,,,,SDY1800,,,Durable SARS-CoV-2 B cell immunity after mild or severe disease,"Most SARS-CoV-2-infected individuals develop S-RBD specific, class-switched rMBCs that resemble germinal center derived B cells induced by effective vaccination against other pathogens, providing evidence for durable B cell mediated immunity against SARS-CoV-2 after mild or severe disease."
280,6661,,,,SDY1803,,,"Neutralizing antibody against SARS-CoV-2 spike in COVID-19 patients, health care workers, and convalescent plasma donors",To describe a sensitive and reliable SARS-CoV-2 S�bearing lentivirus inGluc neutralization assay that is validated by the authentic SARS-CoV-2 plaque-reduction assay
281,6661,,,,SDY1809,,,Efficacy of clinical evaluations for COVID-19 on the front line,"We conducted a retrospective review of patients assessed for possible COVID-19 illness at our urban medical center in Los Angeles, California. We carefully reviewed all clinical records to ascertain the provider's level of clinical suspicion for COVID-19 illness and compared these assessments with available results of SARS-CoV-2 testing, in addition to longitudinal data on clinical outcomes."
282,6661,,,,SDY1810,,,Pseudo-safety in a cohort of patients with COVID-19 discharged home from the emergency department,"To identify predictors of COVID-19 inpatient admission, intensive care, intubation, and when they may be safely observed as an outpatient."
283,6661,,,,SDY1812,,,Repeated cross-sectional sero-monitoring of SARS-CoV-2 in New York City,To understand seroprevalence dynamics of anti-SARS-CoV-2 spike antibodies in NYC �urgent care� and �routine care� groups in the first wave of the COVID-19 pandemic.
284,6661,,,,SDY1813,,,Comprehensive analysis of T cell immunodominance and immunoprevalence of SARS-CoV-2 epitopes in COVID-19 cases,To establish the patterns of immunodominance of different SARS-CoV-2 antigens and precisely measure virus-specific CD4+ and CD8+ T cells.
285,6661,,,,SDY1815,,,Functional characterization of CD4+ T cell receptors crossreactive for SARS-CoV-2 and endemic coronaviruses,"We used the viral functional expansion of specific T cells (ViraFEST) platform to identify T cell responses crossreactive for the spike (S) glycoproteins of SARS-CoV-2 and common cold coronaviruses (CCCs) at the T cell receptor (TCR) clonotype level in convalescent COVID-19 patients (CCPs) and SARS-CoV-2–unexposed donors. Memory CD4+ T cell clonotypes that crossrecognized the S proteins of SARS-CoV-2 and at least one other CCC were detected in 65% of CCPs and unexposed donors. Several of these TCRs were shared among multiple donors. Crossreactive T cells demonstrated significantly impaired SARS-CoV-2–specific proliferation in vitro relative to monospecific CD4+ T cells, which was consistent with lower functional avidity of their TCRs for SARS-CoV-2 relative to CCC."
286,6661,,,,SDY1816,,,Vascular Disease and Thrombosis in SARS-CoV-2-Infected Rhesus Macaques,To evaluate whether critical interactions between inflammatory and thrombosis pathways lead to SARS-CoV-2-induced vascular disease in human and macaques
287,6661,,,,SDY1818,,,Correlates of Protection Against SARS-CoV-2 in Rhesus Macaques,"To determine the immunological determinants of protection and the importance of humoral immunity, cellular immunity, and innate immunity in protecting against SARS-CoV-2 in Rhesus macaques."
288,6661,,,,SDY1819,,,Comparison of Subgenomic and Total RNA in SARS-CoV-2 Challenged Rhesus Macaques,To investigate the capacity of the sgRNA assay to distinguish administered virus from actively replicating virus in vivo.
289,6661,,,,SDY1821,,,MDA5 Governs the Innate Immune Response to SARS-CoV-2 in Lung Epithelial Cells,To investigate the molecular mechanism of IFN induction in an epithelial cell line (Calu-3) and induced pluripotent stem cell (iPSC)-derived airway epithelial cells during SARS-CoV-2 infection
290,6601,,,,SDY1828,,,Romiplostim (Nplate) Efficacy Study with or without Pegfilgrastim (Neulasta) in a Rhesus Macaque H-ARS Model,"Nplate, with and without Neulasta, was given to irradiated rhesus macaques to determine whether Nplate administration improved survival, and whether co-administration of Nplate improved survival."
291,6661,,,,SDY1829,,,Severely ill COVID-19 patients display impaired exhaustion features in SARS-CoV-2-reactive CD8+ T cells,"To perform single-cell transcriptome and TCR sequence analyses of reactive CD8+ T cells from patients with COVID-19, healthy controls and pre-pandemic donors."
292,2883,,,,SDY183,,,Effect of age on 2008/2009 trivalent influenza vaccine response,To comprehensively compare the humoral immune response of young (20-31 years old) to older human subjects (60 to >90 years old) following vaccination with seasonal flu vaccine. We generated a peptide microarray featuring tiled peptides with sequences derived from the hemagglutinin proteins of multiple influenza strains. We probed the microarrays with pre- and post-vaccination serum from each age group. Serum antibody reactivity to the microarray peptides was quantified using fluorescently labeled anti-human secondary antibodies and a fluorescent microarray scanner.
293,6661,,,,SDY1831,,,Serological analysis reveals an imbalanced IgG subclass composition associated with COVID-19 disease severity,"To understand the relationship between COVID-19 disease severity and the levels of circulating severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)-specific antibodies, including virus-neutralizing titers."
294,6661,,,,SDY1832,,,Immunological imprinting of the antibody response in COVID-19 patients,To study de novo antibody responses against SARS-CoV-2 and to investigate the role of immunological imprinting on COVID-19 patients� antibody response.
295,6661,,,,SDY1835,,,"Delayed Rise of Oral Fluid Antibodies, Elevated BMI, and Absence of Early Fever Correlate With Longer Time to SARS-CoV-2 RNA Clearance in a Longitudinally Sampled Cohort of COVID-19 Outpatients",To identify host and immune determinants of prolonged SARS-CoV-2 RNA detection.
296,6661,,,,SDY1840,,,Tissue-based SARS-CoV-2 detection in fatal COVID-19 infections: Sustained direct viral-induced damage is not necessary to drive disease progression,"We first developed a positive control cell line (Vero E6) to validate SARS-CoV-2 detection assays. We then evaluated multiple organs (lungs, kidneys, heart, liver, brain, intestines, lymph nodes, and spleen) from fourteen COVID-19 autopsy cases using immunohistochemistry (IHC) for the spike and the nucleoprotein proteins, and RNA in situ hybridization (RNA ISH) for the spike protein mRNA. qPCR confirmed high viral load in the SARS-CoV-2 ISH-positive lung tissue, and absent or low viral load in all ISH-negative tissues. In patients who die of COVID-19-related organ failure, SARS-CoV-2 is largely not detectable using tissue-based assays. Even in lungs showing widespread injury, SARS-CoV-2 viral RNA or proteins were detected in only a small minority of cases."
297,6252,,,,SDY1844,,,Natural killer cell repertoire and function in HIV-1 persistence,Samples taken from people living with HIV-1 on long-term ART over the course of 50 weeks were profiled by CyTOF using antibody panels focused on natural killer cell receptors and ligands
298,6661,,,,SDY1849,,,Estimating SARS-CoV-2 seroprevalence and epidemiological parameters with uncertainty from serological surveys,"To integrate uncertainty from test characteristics, sample size, and heterogeneity in seroprevalence across subpopulations to compare estimates from sampling schemes."
299,6661,,,,SDY1850,,,Model-informed COVID-19 vaccine prioritization strategies by age and serostatus,"To quantify the impact of COVID-19 vaccine prioritization strategies on cumulative incidence, mortality, and years of life lost."
300,6661,,,,SDY1851,,,Interpreting vaccine efficacy trial results for infection and transmission,To estimate Moderna vaccine�s efficacy on viral positivity through simulations.
301,6661,,,,SDY1852,,,Modeling the impact of racial and ethnic disparities on COVID-19 epidemic dynamics,To investigate how racial and ethnic disparities can impact epidemic trajectories and result in unequal distributions of SARS-CoV-2 infection.
302,6439,,,,SDY1863,,,Safety and immunogenicity in age de-escalation of PfSPZ Vaccine in Tanzania,"The present trial will evaluate safety and tolerability as well as the vaccine-induced humoral and cellular immune responses in healthy Tanzanian adults, adolescents, children, and infants who receive doses of 1.8x10^6, 9.0x10^5, 4.5x10^5 or 2.7x10^5 PfSPZ of PfSPZ Vaccine by direct venous inoculation (DVI),compared with control groups receiving normal saline (NS) placebo by DVI. In addition, as an exploratory objective, controlled human malaria infection (CHMI) will be used to assess efficacy in adults three weeks following immunization."
303,6661,,,,SDY1868,,,Critical ACE2 Determinants of SARS-CoV-2 and Group 2B Coronavirus Infection and Replication,To investigate the angiotensin-converting enzyme 2 (ACE2) receptor to gain insights into COVID-19 pathogenesis through molecular modeling and empirical in vitro validation.
304,4009,,,,SDY1869,,,"Integrated modeling of metabolome, proteome, and immunome trajectories predicts labor onset","To predict labor onset, a longitudinal study was conducted in 63 women who went into labor spontaneously. More than 7000 plasma analytes and peripheral immune cell responses were analyzed using untargeted mass spectrometry for metabolomics, aptamer-based proteomic technology, and single-cell mass cytometry in serial blood samples collected during the last 100 days of pregnancy. A stacked generalization algorithm to the multiomic dataset was applied to build and independently validate an integrated predition model. The model with the top 45 features resulted in the prediction in Pearson R=0.85 ( training set) and 0.81 (test set), respectively. The study found the surge in steroid hormone metabolites 2 to 4 weeks before labor coincided with dynamic changes in plasma protein concentrations and immune cell responses."
305,4876,,,,SDY1870,,,Kinetics of immunological memory to SARS-CoV-2,"We assessed the kinetics and durability of SARS-CoV-2-specific antibodies, CD4+ T cells, and CD8+ T cells made in response to SARS-CoV-2 infection in a predominantly cross-sectional study extending up to eight months post-infection."
306,4009,,,,SDY1871,,,Maternal plasma miRNAs as potential biomarkers for detecting risk of SGA,"To investigate the miRNA biomarkers asssociated with the Small-for-gestational-age fetuses (SGA) condition, maternal plasma samples from 29 women (N=16 normal, N=13 SGA) were selected to form a discovery cohort in which expression data for a total of 800 miRNAs was determined using the Nanostring nCounter miRNA assay. Differential expression of two miRNA markers; hsa-miR-374a-5p (p = 0•0176) and hsa-let-7d-5p (p = 0•0036), were validated in an independent population of 95 women (SGA n = 12, Control n = 83)."
307,4009,,,,SDY1872,,,Nitrate in Drinking Water during Pregnancy and sPTM,"To investigate the association between elevated nitrate in drinking water and spontaneous preterm birth, A within-mother retrospective cohort study of births in California ( screened 6 million birth certificate records from 2000-2011 and constructed an investigation set with ~ 1.4M consecutive sibling births ) was conducted. The public water system monitoring records to estimate nitrate concentrations in drinking water for each woman's residence during gestation were used for the association study. Two conditional logistic regression models were estimated for the odds of preterm birth at 20-31 and 32-36 wk, respectively."
308,4009,,,,SDY1873,,,Lactobacillus-depleted vaginal microbiota in HIV-1 pregnant women are associated with increased local inflammation and PTM,"To characterise the vaginal microbiota of a UK cohort of pregnant women living with HIV-1 infection (PWLWH, n=53) sampled longitudinally throughout gestation compared to HIV uninfected pregnant women (HUPW, n-22) using metataxonomic profiling and to determine if differences in vaginal microbiota composition of PWLWH influence local inflammation and subsequent risk of PTB. The prospective study revealed an association between local inflammation, vaginal dysbiosis and PTB in PWLWH."
309,4009,,,,SDY1876,,,Large-scale placenta DNA methylation mega-analysis on fetal sex,"To identify DNA methylation features (CpGs and regions) associated with fetal sex, a mega-analysis of 532 full term pregnant samples selected from 14 publicly available placenta DNA methylation (DNAm) microarray datasets was conducted. Datasets synthesised from trimesters samples were further examined for features persistance throughout the gestational period. Enriched pathways of keratinization, chemokine activity, and eosinophil and 9 DMRs were identified from differential DNA methylation profiles associated with fetal sex-specific placenta."
310,6681,,,,SDY1877,,,Ethmoidal sinus scRNA from CRSwNP and CRSsNP,scRNA-Seq data from ethmoidal sinus samples from subjects with chronic rhinosinusitis with nasal polyposis and chronic rhinosinusitis without nasal polyposis
311,6718,,,,SDY1879,,,Molecular Heterogeneity of SLE Disease Activity,"In this study, a broad multi-omic analysis of differences in SLE disease activity by race was used to determine differences in the cellular and molecular presentation of disease. Data from CyTOF (immunophenotyping & phospho-Cytof), multioplex soluble mediators (both baseline plasma and stimulated secreted), EpiTOF, and scRNA-Seq/51-plex CITE-Seq are systematically collected from the sample subjects at the same visits across a very deeply clinically phenotyped cohort matched for age, race and sex."
312,6625,,,,SDY1880,,,Multicenter Mayo Genomics Trial (GEN-04),The purpose of this study is to determine if certain genes found in a kidney biopsy performed at one-year post transplant can predict which transplanted kidneys will have decreased kidney function within five years post-transplant.
313,6439,,,,SDY1881,,,Safety and immunogenicity of PfSPZ Vaccine in Equatorial Guinea (EGSPZV1),"This is a single center, randomized, placebo-controlled, double-blind trial to assess the safety and immunogenicity of PfSPZ Vaccine administered by direct venous inoculation (DVI).The study to be conducted in Baney District, Bioko Island, Equatorial Guinea (EG), will be to establish whether three doses of the higher regimen - three doses of 2.7x10^5 PfSPZ of the PfSPZ Vaccine administered at 8 week intervals - is as well-tolerated and efficacious in malaria exposed African adults as the five dose regimens. Specifically, the trial will address the following objectives: is the three dose regimen: 1. Safe and well tolerated in Equatoguinean (EG) adults. 2. As immunogenic in EG adults as is the five-dose regimen of 1.35x10^5 PfSPZ in Tanzanian and U.S. adults or as three-, four- and five-dose regimens of 2.7x10^5 PfSPZ being tested in Tanzanian, Malian and U.S. adults. In addition, as an exploratory objective, the volunteers in the EG trial will be followed longitudinally to measure the incidence of malaria during the initial six months following immunization, providing a preliminary assessment of efficacy."
314,6681,,,,SDY1882,,,Human airway epithelial response to RV-C is coordinated between infected and uninfected cells,Human airway epithelial response to RV-C is coordinated between infected and uninfected cells
315,6721,,,,SDY1883,,,35th Multicenter Airway Research Collaboration (MARC-35):  dual transcriptomic profile of nasopharyngeal aspirates,"As part of MARC-35, we aimed to identify biologically-distinct nasopharyngeal microbiome and host immune profiles among infants (age <1 year) hospitalized for bronchiolitis."
316,5882,,,,SDY1884,,,Biomarkers for PTLD in Children (CTOTC-06),"Solid organ transplantation is an important therapeutic option for children with a variety of end stage diseases. However, the same immunosuppressive medications that are required to prevent the child's immune system from attacking and rejecting the transplanted organ can predispose these individuals to developing a very serious cancer that is linked to Epstein-Barr virus (EBV)."
317,3670,,,,SDY1885,,,"Heterogeneity of human anti-viral immunity shaped by virus, tissue, age, and sex","Focusing on CD8+ T cells, we elucidate the factors that shape the maintenance and function of anti-viral T cell immunity by comprehensive profiling of virus-specific T cells across blood, lymphoid organs, and mucosal tissues of organ donors."
318,6512,,,,SDY1886,,,Multiscale PHATE identifies multimodal signatures of COVID-19,Multiscale PHATE is a machine learning novel tool for dimensionality reduction and data exploration that can be applied to biological data sets to learn and visualize
319,6439,,,,SDY1887,,,"Safety, tolerability and immunogenicity in age de-escalation of PfSPZ Vaccine in Equatorial Guinea (EGSPZV2)","This trial will evaluate the safety, tolerability, and immunogenicity of PfSPZ Vaccine in healthy Equatoguinean adults, adolescents, children and infants who receive doses of 0.9x10^6, 1.8x10^6 or 2.7x10^6 PfSPZ Vaccine via direct venous inoculation (DVI) compared with control groups receiving normal saline (NS) placebo by DVI. In addition, the study will also assess a second PfSPZ-based vaccination approach known as PfSPZ-CVac- the administration of non-irradiated, infectious PfSPZ (PfSPZ Challenge) (1x10^5 PfSPZ) under anti-malarial chemoprophylaxis (chloroquine) in younger adults ages 18 to 35 years for safety, tolerability, immunogenicity and efficacy against controlled human malaria infection (CHMI)."
320,6439,,,,SDY1889,,,Regimen Optimization Trial of PfSPZ Vaccine in Equatorial Guinea (EGSPZV3),"This is a phase 1, randomized regimen optimization study of PfSPZ Vaccine in healthy Equatoguinean volunteers to determine if a condensed, rapid immunization regimen is safe and efficacious. Four different regimens 4 weeks or less in duration will be evaluated for safety, tolerability, immunogenicity, and protective efficacy in comparison to a gold standard 16-week regimen."
321,6661,,,,SDY1890,,,SARS-CoV-2 Spreads through Cell-to-Cell Transmission,"To evaluate cell-to-cell transmission of SARSCoV-2 in the context of cell-free infection and in comparison, with SARS-CoV."
